,player_name,team,affiliation,year,round,round_pick,overall_pick
1,Cade Cunningham,Detroit Pistons,Oklahoma State,2021.0,1,1,1
2,Jalen Green,Houston Rockets,Ignite (G League),2021.0,1,2,2
3,Evan Mobley,Cleveland Cavaliers,Southern California,2021.0,1,3,3
4,Scottie Barnes,Toronto Raptors,Florida State,2021.0,1,4,4
5,Jalen Suggs,Orlando Magic,Gonzaga,2021.0,1,5,5
6,Josh Giddey,Oklahoma City Thunder,NBA Global Academy (Australia),2021.0,1,6,6
7,Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021.0,1,7,7
8,Franz Wagner,Orlando Magic,Michigan,2021.0,1,8,8
9,Davion Mitchell,Sacramento Kings,Baylor,2021.0,1,9,9
10,Ziaire Williams,New Orleans Pelicans,Stanford,2021.0,1,10,10
11,James Bouknight,Charlotte Hornets,Connecticut,2021.0,1,11,11
12,Joshua Primo,San Antonio Spurs,Alabama,2021.0,1,12,12
13,Chris Duarte,Indiana Pacers,Oregon,2021.0,1,13,13
14,Moses Moody,Golden State Warriors,Arkansas,2021.0,1,14,14
15,Corey Kispert,Washington Wizards,Gonzaga,2021.0,1,15,15
16,Alperen Sengun,Oklahoma City Thunder,Besiktas (Turkey),2021.0,1,16,16
17,Trey Murphy III,Memphis Grizzlies,Virginia,2021.0,1,17,17
18,Tre Mann,Oklahoma City Thunder,Florida,2021.0,1,18,18
19,Kai Jones,New York Knicks,Texas,2021.0,1,19,19
20,Jalen Johnson,Atlanta Hawks,Duke,2021.0,1,20,20
21,Keon Johnson,New York Knicks,Tennessee,2021.0,1,21,21
22,Isaiah Jackson,Los Angeles Lakers,Kentucky,2021.0,1,22,22
23,Usman Garuba,Houston Rockets,Madrid (ESP),2021.0,1,23,23
24,Josh Christopher,Houston Rockets,Arizona State,2021.0,1,24,24
25,Quentin Grimes,LA Clippers,Houston,2021.0,1,25,25
26,Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021.0,1,26,26
27,Cam Thomas,Brooklyn Nets,Louisiana State,2021.0,1,27,27
28,Jaden Springer,Philadelphia 76ers,Tennessee,2021.0,1,28,28
29,Day'Ron Sharpe,Phoenix Suns,North Carolina,2021.0,1,29,29
30,Santi Aldama,Utah Jazz,Loyola-Maryland,2021.0,1,30,30
31,Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021.0,2,1,31
32,Jeremiah Robinson-Earl,New York Knicks,Villanova,2021.0,2,2,32
33,Jason Preston,Orlando Magic,Ohio,2021.0,2,3,33
34,Rokas Jokubaitis,Oklahoma City Thunder,BC Zalgiris (Lithuania),2021.0,2,4,34
35,Herbert Jones,New Orleans Pelicans,Alabama,2021.0,2,5,35
36,Miles McBride,Oklahoma City Thunder,West Virginia,2021.0,2,6,36
37,JT Thor,Detroit Pistons,Auburn,2021.0,2,7,37
38,Ayo Dosunmu,Chicago Bulls,Illinois,2021.0,2,8,38
39,Neemias Queta,Sacramento Kings,Utah State,2021.0,2,9,39
40,Jared Butler,Sacramento Kings,Baylor,2021.0,2,10,40
41,Joe Wieskamp,San Antonio Spurs,Iowa,2021.0,2,11,41
42,Isaiah Livers,Detroit Pistons,Michigan,2021.0,2,12,42
43,Greg Brown III,New Orleans Pelicans,Texas,2021.0,2,13,43
44,Kessler Edwards,Brooklyn Nets,Pepperdine,2021.0,2,14,44
45,Juhann Begarin,Boston Celtics,Paris (France),2021.0,2,15,45
46,Dalano Banton,Toronto Raptors,Nebraska,2021.0,2,16,46
47,David Johnson,Toronto Raptors,Louisville,2021.0,2,17,47
48,Sharife Cooper,Atlanta Hawks,Auburn,2021.0,2,18,48
49,Marcus Zegarowski,Brooklyn Nets,Creighton,2021.0,2,19,49
50,Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021.0,2,20,50
51,Brandon Boston Jr.,Memphis Grizzlies,Kentucky,2021.0,2,21,51
52,Luka Garza,Detroit Pistons,Iowa,2021.0,2,22,52
53,Charles Bassey,Philadelphia 76ers,Western Kentucky,2021.0,2,23,53
54,Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021.0,2,24,54
55,Aaron Wiggins,Oklahoma City Thunder,Maryland,2021.0,2,25,55
56,Scottie Lewis,Charlotte Hornets,Florida,2021.0,2,26,56
57,Balsa Koprivica,Charlotte Hornets,Florida State,2021.0,2,27,57
58,Jericho Sims,New York Knicks,Texas,2021.0,2,28,58
59,RaiQuan Gray,Brooklyn Nets,Florida State,2021.0,2,29,59
60,Georgios Kalaitzakis,Indiana Pacers,BC Nevezis (Greece),2021.0,2,30,60
